Soil Temperature,N,P,K,Moisture,Humidity,Ambient Temperature
28.6,30,112,164,69,20,33.6
28.5,30,115,162,69,17.2,33.5
28.5,30,119,162,66,16.5,33.5
28.5,29,116,164,69,20,33.5
28.5,30,116,162,76,20,33.5
28.5,29,117,164,62,19.1,33.5
28.5,29,113,161,72,20,33.5
28.5,30,116,162,72,20,33.5
28.5,29,115,159,62,20,33.5
28.5,29,119,161,66,43.8,33.5
28.5,29,117,159,66,20,33.5
25.5,229,74,107,209,25.8,30.5
25.5,226,73,103,206,26.5,30.5
25.5,228,73,103,207,26.6,30.5
25.4,227,74,105,209,26.9,30.4
25.3,228,75,103,207,26.9,30.3
25.2,228,74,103,207,28,30.2
25.2,225,73,101,207,27,30.2
25.2,225,73,103,207,27.1,30.2
25.2,224,74,103,207,26.6,30.2
25.2,223,74,104,207,26.9,30.2
25.2,222,74,103,207,26.6,30.2
25.1,222,75,103,209,26.8,30.1
25.1,222,75,104,207,26.5,30.1
25.1,224,74,104,213,26.4,30.1
25.4,222,75,104,211,26.3,30.4
25.5,223,74,104,207,26.6,30.5
25.5,223,73,101,206,26.6,30.5
25.4,223,74,102,203,26.3,30.4
25.4,222,74,104,207,25.5,30.4
25.5,224,74,103,209,25.9,30.5
25.5,224,71,102,209,26,30.5
25.4,224,71,100,200,25.7,30.4
25.4,223,74,103,209,25.7,30.4
25.4,223,73,103,200,27.3,30.4
25.4,223,74,102,204,26.3,30.4
25.5,225,74,102,206,25.9,30.5
25.5,223,72,101,206,26,30.5
25.5,224,74,103,206,26.6,30.5
25.3,224,74,103,201,26.7,30.3
25.2,224,73,103,207,26.8,30.2
25.1,223,72,102,206,26.4,30.1
25.2,225,72,103,204,25.8,30.2
25.3,224,73,103,209,25.8,30.3
25.3,224,73,104,209,25.7,30.3
25.3,225,73,103,204,26.3,30.3
25.3,225,73,103,201,26.6,30.3
25.2,223,74,104,207,26.9,30.2
25.2,225,71,103,207,25.7,30.2
25.2,225,74,102,204,26,30.2
25.2,225,73,103,206,26.2,30.2
25.1,225,73,103,209,26.1,30.1
25.1,224,73,102,203,25.8,30.1
25.1,223,74,103,207,26.4,30.1
25,222,73,103,209,26.6,30
25,218,73,102,201,26.4,30
